site,product_id,details,actual_price,our_price,discount,percentage,availability,date
amazon,B071JXSRQH,Carbamide Forte Cimvus Fresh-Plus Easily Absorbed Calcium + Extra Vitamin D3 & Vitamin B12 Supplements 60 Tablet,708,396,312,44,TRUE,11/20/2018 19:22
flipkart,https://www.flipkart.com/nike-dart-12-msl-running-shoes-men/p/itmf3xw5rkxhkpj7,Nike DART 12 MSL Running Shoes For Men,4295.0,4295.0,0,0,True,20-Nov-2018 19:23:43
flipkart,https://www.flipkart.com/whirlpool-265-l-frost-free-double-door-2-star-refrigerator/p/itmf3hzzgct5dmun,Whirlpool 265 L Frost Free Double Door 2 Star Refrigerator,23970.0,20490.0,3355.8,14.0,True,20-Nov-2018 19:23:45
flipkart,https://www.flipkart.com/adidas-solid-men-black-sports-shorts/p/itmf7dyzwneksjgc,ADIDAS Solid Men Black Sports Shorts,1499.0,1499.0,0,0,True,20-Nov-2018 19:23:46
flipkart,https://www.flipkart.com/nike-zoom-span-2-running-shoes-men/p/itmf3xvqrcavdzhw,Nike ZOOM SPAN 2 Running Shoes For Men,8495.0,4777.0,3652.85,43.0,True,20-Nov-2018 19:23:47
amazon,B07D8VBYB4,Sujata Powermatic Plus + CH 900-Watt Juicer Mixer Grinder (White),6255.0,5149.0,1106.0,18.0,True,20-Nov-2018 19:23:54
amazon,B075JLZ1GF,"Spacewood Joy Queen Size Bed (Woodpore Finish, Natural Wenge)",26128.0,11999.0,14129.0,54.0,True,20-Nov-2018 19:23:59
amazon,B076CHMZQT,NIKE Men's Flex 2017 Rn Blue Running Shoes,7495.0,7495.0,0,0,True,20-Nov-2018 19:24:04
amazon,B078HGLZ95,NIKE Men's Grey Ck Racer 2 Sports Running Shoes (AA2179-002),0,0,0,0,False,20-Nov-2018 19:24:09
amazon,B0772GP9D7,Men's bicycle Short,1599.0,1599.0,0,0,True,20-Nov-2018 19:24:12
amazon,B01NBWMH1X,Santic Cycling Shorts Biking Bicycle Bike Shorts Black Padded,12670.0,10185.0,2485.0,20.0,True,20-Nov-2018 19:24:14
amazon,B01FMZKHQ4,"Sunline Alaska Deep Sea Fish Oil Omega 3 - 100 Softgels, 1000 Mg",999.0,499.0,500.0,50.0,True,20-Nov-2018 19:24:18
amazon,B071JXSRQH,Carbamide Forte Cimvus Fresh-Plus Easily Absorbed Calcium + Extra Vitamin D3 & Vitamin B12 Supplements 60 Tablet,708.0,396.0,312.0,44.0,True,20-Nov-2018 19:24:22
amazon,B06XPB6LDJ,"Azani Mens Compression Tights. Sports Baselayer Leggings. Ideal for Running, Gym, Cycling, Yoga & More. Cool Dry Compression Sports Pants - Anthracite Black",1300.0,895.0,0,0,True,20-Nov-2018 19:24:25
amazon,B000GIURIQ,"Optimum Nutrition (ON) Gold Standard 100% Whey Protein Powder - 2 lbs, 907 g (Delicious Strawberry)",3699.0,2996.0,703.0,19.0,True,20-Nov-2018 19:24:28
